Season,Date,Sex,Time,Handling,Weight,Culmen,Ulna,Tarsus,Stage,ID,Tri,Cho,Pro,Buty
2,06/12/2011,Hembra,15.36666667,0.2,1960,112.3,211,55.6,0,301h,3554.283333,316.651,6.172,2.564102564
2,05/12/2011,Macho,15.55,0.4,1420,101.2,189,50.4,0,401m,81.074,207.285,3.454,11.48148148
2,08/12/2011,Macho,12.68333333,0.15,1370,103.6,191,50.5,0,402m,30.482,164.754,3.489,4.074074074
2,06/12/2011,Hembra,22.76666667,0.283333333,1930,109.5,202,55,0,302h,2115.855333,,,
2,05/12/2011,Hembra,17.03333333,0.15,2130,112.1,211,54.5,0,303h,2094.923,306.525,4.171,7.037037037
2,07/12/2011,Macho,17.81666667,0.15,1380,104.3,190,49.9,0,403m,99.054,175.555,,8.076923077
2,09/01/2012,Macho,23.83333333,0.166666667,1440,104.3,190,49.9,1,403m,38.426,207.285,3.489,23.05555556
2,10/01/2012,Hembra,22.8,0.083333333,1915,112.1,211,54.5,1,303h,89.02,201.209,2.795,8.484848485
2,11/03/2012,Hembra,17.61666667,0.05,1960,112.1,211,54.5,2,303h,255.941,199.859,3.928,9.6875
2,11/03/2012,Macho,17.61666667,0.05,1365,104.3,190,49.9,2,403m,593.3463333,229.563,4.553,0
2,16/04/2012,Macho,17.28333333,0.083333333,1320,104.3,190,49.9,3,403m,120.378,205.935,3.662,10.29411765
2,08/12/2011,Macho,10.35,0.333333333,1320,104.6,192,50,0,404m,30.898,182.981,3.94,7
2,16/04/2012,Hembra,14.43333333,0.216666667,1860,112.1,211,54.5,3,303h,219.7116667,230.238,3.697,0
2,08/01/2012,Macho,16.06666667,0.183333333,1525,104.6,192,50,1,404m,83.162,198.509,3.558,40.83333333
2,07/12/2011,Hembra,17.23333333,0.166666667,2075,109.4,211,55.7,0,304h,1739.969,301.124,3.257,3.043478261
2,12/03/2012,Macho,16.31666667,0.05,1465,104.6,192,50,2,404m,286.2923333,215.386,,0
2,08/01/2012,Hembra,16.65,0.333333333,1750,109.4,211,55.7,1,304h,101.98,261.968,3.2,15.92592593
2,12/05/2012,Macho,18.15,0.066666667,1370,104.6,192,50,3,404m,60.586,311.251,3.396,29
2,08/12/2011,Macho,13.98333333,0.183333333,1400,105,191,51,0,405m,43.443,170.829,3.269,34.16666667
2,12/03/2012,Hembra,16.55,0.066666667,1845,109.4,211,55.7,2,304h,89.019,201.209,2.76,15.71428571
2,08/01/2012,Macho,16.36666667,0.186220472,1420,105,191,51,1,405m,43.86,137.749,2.957,17.09677419
2,12/05/2012,Hembra,12.18333333,0.15,1860,109.4,211,55.7,3,304h,98.217,244.416,3.454,5.277777778
2,11/03/2012,Macho,17.58333333,0.033333333,1460,105,191,51,2,405m,43.024,170.154,,9.6875
2,06/12/2011,Hembra,15.98333333,0.166666667,1850,106.7,209,55.3,0,305h,4.974,,,4.827586207
2,16/04/2012,Macho,23.86666667,0.066666667,1890,105,191,51,3,405m,64.349,157.327,3.176,9.743589744
2,08/01/2012,Hembra,17.66666667,0.166666667,2025,106.7,209,55.3,1,305h,85.254,170.154,2.98,8.518518519
2,10/12/2011,Macho,11.25,0.166666667,1460,106.2,190,50.5,0,406m,85.671,194.458,3.234,4.782608696
2,12/03/2012,Hembra,18,0.133333333,1800,106.7,209,55.3,2,305h,87.763,191.083,3.477,16.66666667
2,05/12/2011,Macho,16.48333333,0.166666667,1570,105.5,192,50.6,0,407m,152.991,211.336,3.697,11.72413793
2,06/12/2011,Macho,18.08333333,0.216666667,1475,101,189,49.7,0,408m,182.4053333,266.019,,0
2,16/04/2012,Hembra,17.35,0.05,1775,106.7,209,55.3,3,305h,274.8243333,209.985,3.188,3.333333333
2,10/01/2012,Macho,10.15,0.2,1505,101,189,49.7,1,408m,363.391,199.184,3.975,10.35714286
2,05/12/2011,Hembra,15.5,0.25,1950,112.2,209,54.9,0,306h,1376.059,156.652,3.593,0.967741935
2,12/03/2012,Hembra,12.4,0.05,1830,112.2,209,54.9,2,306h,76.894,185.682,3.431,11.93548387
2,12/03/2012,Macho,12.48333333,0.066666667,1350,101,189,49.7,2,408m,85.256,176.23,3.223,12.08333333
2,17/04/2012,Hembra,19.81666667,0.066666667,1885,112.2,209,54.9,3,306h,94.456,203.909,3.408,10.37037037
2,16/04/2012,Macho,18.08333333,0.166666667,1660,101,189,49.7,3,408m,48.878,185.682,3.119,24.85714286
2,06/12/2011,Macho,20.41666667,0.183333333,1670,105,190,52.6,0,409m,61.424,138.425,2.76,5.185185185
2,05/12/2011,Hembra,16.71666667,0.2,1825,110.6,206,54.4,0,307h,2599.386,332.179,,0.769230769
2,10/01/2012,Macho,23.83333333,0.15,1485,105,190,52.6,1,409m,71.04,204.585,3.142,17.27272727
2,06/12/2011,Macho,12.5,0.166666667,1455,105.9,200,50.7,0,410m,147.134,138.425,4.287,
2,08/01/2012,Hembra,17.08333333,0.166666667,1710,110.6,206,54.4,1,307h,91.109,225.513,3.604,8.823529412
2,08/12/2011,Macho,22.71666667,0.1,1445,103.4,193,50.6,0,411m,100.725,193.108,3.766,15.12820513
2,07/12/2011,Hembra,16.78333333,0.116666667,1970,111.6,210,56.2,0,308h,2217.034667,372.4696356,6.403,0
2,09/12/2011,Hembra,11.58333333,0.15,1980,107.3,209,56.9,0,309h,75.637,197.158,3.975,6.129032258
2,08/12/2011,Macho,10.81666667,0.133333333,1390,102.1,190,50.8,0,412m,142.953,167.454,5.004,
2,12/03/2012,Macho,13.41666667,0.066666667,1380,102.1,190,50.8,2,412m,86.089,174.88,3.038,22.75862069
2,08/01/2012,Hembra,14.95,0.2,1795,113.2,203,54.2,1,310h,93.618,155.302,3.061,7.142857143
2,16/04/2012,Macho,18,0.5,1335,102.1,190,50.8,3,412m,221.8693333,106.02,2.274,8.58974359
2,05/12/2011,Macho,17.45,0.216666667,1325,104.3,191,53.1,0,413m,78.563,185.682,3.894,3.703703704
2,12/03/2012,Hembra,16.78333333,0.116666667,1745,113.2,203,54.2,2,310h,186.021,188.382,3.223,11.42857143
2,16/04/2012,Hembra,13.38333333,0.066666667,1775,113.2,203,54.2,3,310h,126.232,182.306,3.674,5.185185185
